Mcavernosa25916	Grap2 and cyclin-D-interacting
Mcavernosa12668	procollagen-proline 4-dioxygenase activity
Mcavernosa29483	cartilage matrix protein
Mcavernosa26868	positive regulation of autophagosome assembly
Mcavernosa30584	ubiquitin-dependent protein catabolic process via the N-end rule pathway
Mcavernosa32357	negative regulation of non-canonical Wnt signaling pathway
Mcavernosa11842	SPRY domain
Mcavernosa07540	Dermatopontin
Mcavernosa13300	Belongs to the SelWTH family. Selenoprotein T subfamily
Mcavernosa30853	N-glycan processing to lysosome
Mcavernosa24214	PsaA and PsaB bind P700, the primary electron donor of photosystem I (PSI), as well as the electron acceptors A0, A1 and FX. PSI is a plastocyanin cytochrome c6-ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn. Oxidized P700 is reduced on the lumenal side of the thylakoid membrane by plastocyanin or cytochrome c6
Mcavernosa29568	Phospholipase A2
Mcavernosa13265	Death associated protein 3
Mcavernosa18135	Glutathione S-transferase, C-terminal domain
Mcavernosa22225	calcium ion binding
Mcavernosa08262	GTPase activity
Mcavernosa21008	RAS protein activator like 1 (GAP1 like)
Mcavernosa24602	cohesin loading
Mcavernosa34498	calcium ion binding
Mcavernosa00689	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa27888	phosphatidylinositol binding
Mcavernosa33244	poly(A) RNA polymerase
Mcavernosa27372	vascular endothelial growth factor receptor-2 signaling pathway
Mcavernosa24350	folate import across plasma membrane
Mcavernosa10092	Catalytic subunit of the poly(A)-nuclease (PAN) deadenylation complex, one of two cytoplasmic mRNA deadenylases involved in general and miRNA-mediated mRNA turnover. PAN specifically shortens poly(A) tails of RNA and the activity is stimulated by poly(A)-binding protein (PABP). PAN deadenylation is followed by rapid degradation of the shortened mRNA tails by the CCR4-NOT complex. Deadenylated mRNAs are then degraded by two alternative mechanisms, namely exosome-mediated 3'-5' exonucleolytic degradation, or deadenlyation-dependent mRNA decaping and subsequent 5'-3' exonucleolytic degradation by XRN1
Mcavernosa07381	RNA binding motif protein 19
Mcavernosa32502	Phytochelatin synthase
Mcavernosa12554	Belongs to the universal ribosomal protein uS9 family
Mcavernosa15755	ATP-dependent microtubule motor activity, plus-end-directed
Mcavernosa17318	Potassium channel subfamily K member
Mcavernosa12786	isoleucyl-tRNA aminoacylation
Mcavernosa27085	NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit 9
Mcavernosa27568	Belongs to the cytochrome b5 family
Mcavernosa00068	Aminotransferase class I and II
Mcavernosa05006	GTP binding
Mcavernosa01111	sensory perception of sound
Mcavernosa19047	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase
Mcavernosa28955	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa01118	NAADP-sensitive calcium-release channel activity
Mcavernosa27644	Transposase IS4
Mcavernosa13938	calcium channel activity
Mcavernosa06027	ORMDL sphingolipid biosynthesis regulator
Mcavernosa10358	5-oxoprolinase (ATP-hydrolyzing) activity
Mcavernosa27891	cerebellar granular layer formation
Mcavernosa03332	endosomal transport
Mcavernosa03526	Immunoglobulin C-2 Type
Mcavernosa34369	NFX1-type zinc finger-containing protein 1-like
Mcavernosa08846	integrin-mediated signaling pathway
Mcavernosa07933	DEK oncogene
Mcavernosa19392	serine-type endopeptidase inhibitor activity
Mcavernosa22033	GTP-binding protein 10
Mcavernosa07408	potassium channel regulator activity
Mcavernosa30493	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Mcavernosa17185	WD40 repeats
Mcavernosa31388	Mediator of RNA polymerase II transcription subunit 23
Mcavernosa00832	Acyl-CoA synthetase long-chain family member
Mcavernosa02750	Rap Ran-GAP domain-like
Mcavernosa21668	structural constituent of ribosome
Mcavernosa16500	Belongs to the WD repeat SEC13 family
Mcavernosa20002	endoplasmic reticulum signal peptide binding
Mcavernosa25691	polycystic kidney disease protein 1-like
Mcavernosa11037	Galactose-3-O-sulfotransferase
Mcavernosa18044	RNA recognition motif
Mcavernosa12342	Leucine Rich repeat
Mcavernosa01677	6-O-sulfation enzyme which catalyzes the transfer of sulfate from 3'-phosphoadenosine 5'-phosphosulfate (PAPS) to position 6 of the N-sulfoglucosamine residue (GlcNS) of heparan sulfate
Mcavernosa33113	phosphatidylserine biosynthetic process
Mcavernosa27197	tRNA-specific adenosine deaminase activity
Mcavernosa20015	sequence-specific DNA binding
Mcavernosa04209	Belongs to the bZIP family
Mcavernosa20900	Mitochondrial carrier protein
Mcavernosa08079	Solute carrier family 6 (neurotransmitter transporter, creatine), member 8
Mcavernosa24264	Archease protein family (MTH1598/TM1083)
Mcavernosa22615	Ubiquitin-binding domain
Mcavernosa19482	adenylate cyclase-activating G-protein coupled receptor signaling pathway
Mcavernosa11379	Belongs to the DEAD box helicase family
Mcavernosa21471	molybdenum ion binding
Mcavernosa14839	Hephaestin
Mcavernosa19496	transferase activity
Mcavernosa07146	store-operated calcium channel activity
Mcavernosa11702	60S ribosome subunit biogenesis protein NIP7 homolog
Mcavernosa19835	peptidylamidoglycolate lyase activity
Mcavernosa20144	Universal stress protein family
Mcavernosa03298	stabilization of membrane potential
Mcavernosa11422	Belongs to the adenylyl cyclase class-4 guanylyl cyclase family
Mcavernosa30086	Microcephalin
Mcavernosa21269	transferase activity, transferring acyl groups
Mcavernosa29026	serine threonine-protein kinase
Mcavernosa04686	supervillin
Mcavernosa11042	meiotic DNA recombinase assembly
Mcavernosa32058	Neuronal acetylcholine receptor subunit
Mcavernosa28271	Transposase IS4
Mcavernosa13122	protein homodimerization activity
Mcavernosa07230	coiled-coil domain containing 57
Mcavernosa17724	Protein tyrosine kinase
Mcavernosa13378	aryl sulfotransferase activity
Mcavernosa08521	branchiomeric skeletal muscle development
Mcavernosa24975	SPOUT domain containing methyltransferase 1
Mcavernosa04043	regulation of Cdc42 protein signal transduction
Mcavernosa06896	Transcription initiation factor TFIID subunit
Mcavernosa28713	E3 ubiquitin-protein ligase CBL
Mcavernosa17850	serine-type endopeptidase activity
Mcavernosa18628	Paired box protein 7
Mcavernosa12166	Pentafunctional AROM polypeptide-like
Mcavernosa16787	dolichyl-phosphate beta-D-mannosyltransferase activity
Mcavernosa23407	Belongs to the glycosyl hydrolase 18 family
Mcavernosa03067	neurotransmitter receptor localization to postsynaptic specialization membrane
Mcavernosa32640	Kelch-like protein 12
Mcavernosa01879	Nuclear segregation protein
Mcavernosa08650	CRT-like, chloroquine-resistance transporter-like
Mcavernosa22637	2OG-Fe(II) oxygenase superfamily
Mcavernosa24535	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Mcavernosa09244	transmembrane receptor protein tyrosine kinase activity
Mcavernosa24381	ribosomal protein import into nucleus
Mcavernosa13999	FAM194 protein
Mcavernosa04437	Belongs to the OSBP family
Mcavernosa16305	G protein-coupled glucose receptor regulating Gpa2 C-term
Mcavernosa07270	phospholipase C
Mcavernosa33684	protein phosphatase inhibitor activity
Mcavernosa01558	DNA replication initiation
Mcavernosa06002	calcium ion binding
Mcavernosa24688	acetyltransferase activator activity
Mcavernosa27833	oxidative phosphorylation uncoupler activity
Mcavernosa30297	Coiled-coil domain containing 13
Mcavernosa34048	organic anion transmembrane transporter activity
Mcavernosa31116	G-protein beta-subunit binding
Mcavernosa04862	RNA secondary structure unwinding
Mcavernosa04995	G-protein coupled receptor activity
Mcavernosa18003	small-subunit processome assembly
Mcavernosa08439	Alternative oxidase
Mcavernosa32033	protein kinase activity
Mcavernosa12743	replication fork processing
Mcavernosa11917	exosome component 10
Mcavernosa21935	solute carrier family 22
Mcavernosa25886	lytic vacuole organization
Mcavernosa21329	tumor necrosis factor receptor binding
Mcavernosa01208	ribosomal protein
Mcavernosa32658	Belongs to the protein kinase superfamily
Mcavernosa22431	PRA1 family
Mcavernosa14810	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
Mcavernosa00741	Calponin homology (CH) domain
Mcavernosa02305	Zinc finger CCHC
Mcavernosa28125	mitochondrial translation
Mcavernosa20625	actin filament capping
Mcavernosa25473	lipoprotein receptor-related protein
Mcavernosa26520	transcription by RNA polymerase II
Mcavernosa28981	selenocysteine lyase activity
Mcavernosa18429	Rho gtpase activating protein
Mcavernosa01974	G-protein coupled receptor activity
Mcavernosa17772	fibroblast growth factor-activated receptor activity
Mcavernosa07727	peptidase inhibitor activity
Mcavernosa21492	thyroid hormone transmembrane transporter activity
Mcavernosa31854	7 transmembrane receptor (rhodopsin family)
Mcavernosa11096	methyltransferase activity
Mcavernosa02501	UDP-glucose glycoprotein glucosyltransferase
Mcavernosa30144	transmembrane transporter activity
Mcavernosa05859	positive regulation of epithelial to mesenchymal transition
Mcavernosa10984	semaphorin receptor binding
Mcavernosa02397	Enoyl-CoA hydratase
Mcavernosa15528	xylosyltransferase activity
Mcavernosa11714	negative regulation of vascular endothelial growth factor receptor signaling pathway
Mcavernosa00164	protein kinase binding
Mcavernosa02857	carbohydrate binding
Mcavernosa31459	Folate receptor
Mcavernosa08447	positive regulation of abscisic acid-activated signaling pathway
Mcavernosa20298	Protein FAM221A/B
Mcavernosa05942	G-protein coupled receptor activity
Mcavernosa26454	Belongs to the G-protein coupled receptor Fz Smo family
Mcavernosa21279	Maguk P55 subfamily member
Mcavernosa28463	G-protein coupled receptor activity
Mcavernosa22147	iron ion binding
Mcavernosa16056	guanylate cyclase activity
Mcavernosa02914	Involved in transport of proteins from the cis medial- Golgi to the trans-Golgi network
Mcavernosa33661	D domain of beta-TrCP
Mcavernosa11793	thioesterase binding
Mcavernosa14842	Kelch motif
Mcavernosa06816	molybdopterin cofactor binding
Mcavernosa24611	Histone-lysine N-methyltransferase, H3 lysine-79 specific
Mcavernosa20499	RNA binding
Mcavernosa20745	Belongs to the fatty acid desaturase type 1 family
Mcavernosa06590	hydrolase activity
Mcavernosa27673	Carbohydrate (chondroitin 4) sulfotransferase 11
Mcavernosa31355	phosphoprotein phosphatase activity
Mcavernosa17160	positive regulation of DNA-binding transcription factor activity
Mcavernosa25019	It is involved in the biological process described with
Mcavernosa10157	Belongs to the peptidase S1 family
Mcavernosa28457	steroid hormone receptor activity
Mcavernosa19699	Belongs to the mitochondrial carrier (TC 2.A.29) family
Mcavernosa12391	Zgc 162946
Mcavernosa11980	Cytochrome P450, family 46, subfamily A, polypeptide
Mcavernosa29313	N-deacetylase N-sulfotransferase
Mcavernosa06000	ribonuclease P
Mcavernosa32877	It is involved in the biological process described with proteolysis
Mcavernosa10062	Receptor-type tyrosine-protein phosphatase
Mcavernosa31121	glucuronosyltransferase activity
Mcavernosa03005	glomerular parietal epithelial cell differentiation
Mcavernosa24851	WD repeat-containing protein 41
Mcavernosa13319	Cell division cycle 37
Mcavernosa13787	extracellularly glycine-gated chloride channel activity
Mcavernosa23536	positive regulation of smooth muscle cell-matrix adhesion
Mcavernosa22309	tRNA (adenine-N1-)-methyltransferase activity
Mcavernosa09910	iron import into the mitochondrion
Mcavernosa31625	Phosphotyrosine interaction domain (PTB/PID)
Mcavernosa02365	dynein heavy chain binding
Mcavernosa07708	connecting tubule development
Mcavernosa28106	protein-FAD linkage
Mcavernosa20291	glutamate receptor
Mcavernosa21580	metalloendopeptidase activity
Mcavernosa16268	Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14
Mcavernosa22590	protein targeting to lysosome
Mcavernosa03931	cell motility in response to calcium ion
Mcavernosa09158	tetratricopeptide repeat
Mcavernosa09077	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress
Mcavernosa22701	G-protein beta/gamma-subunit complex binding
Mcavernosa06798	nuclear-transcribed mRNA catabolic process, no-go decay
Mcavernosa03805	peroxiredoxin activity
Mcavernosa03270	GABA-A receptor activity
Mcavernosa22532	GPN-loop GTPase 3
Mcavernosa20009	Homeodomain
Mcavernosa08755	calcium ion-regulated exocytosis of neurotransmitter
Mcavernosa13187	regulation of DNA-binding transcription factor activity
Mcavernosa06923	Src homology 3 domains
Mcavernosa33171	POU class 1 homeobox 1
Mcavernosa05427	G-protein coupled GABA receptor activity
Mcavernosa26670	motor activity
Mcavernosa05522	carbohydrate binding
Mcavernosa29377	serine-pyruvate transaminase activity
Mcavernosa13738	Aldo/keto reductase family
Mcavernosa23720	Mob1/phocein family
Mcavernosa23763	protein ubiquitination
Mcavernosa24154	Tektin 3
Mcavernosa01398	Peptidase inhibitor
Mcavernosa20073	adenylate cyclase-activating G-protein coupled receptor signaling pathway
Mcavernosa28520	Rab5-interacting protein (Rab5ip)
Mcavernosa15784	vesicle fusion with Golgi apparatus
Mcavernosa03573	histone demethylase activity (H4-K20 specific)
Mcavernosa06080	brassinosteroid metabolic process
Mcavernosa05359	TIR domain
Mcavernosa26310	BCL (B-Cell lymphoma); contains BH1, BH2 regions
Mcavernosa08863	Isoprenoid synthase
Mcavernosa27963	endoribonuclease activity
Mcavernosa16967	Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide
Mcavernosa03323	Zinc-dependent metalloprotease
Mcavernosa08315	retinol dehydrogenase activity
Mcavernosa28326	thymidine kinase activity
Mcavernosa22776	RNA polymerase II transcriptional preinitiation complex assembly
Mcavernosa09207	GTPase activity
Mcavernosa12551	clathrin adaptor activity
Mcavernosa30466	Early endosome antigen
Mcavernosa09575	dual specificity phosphatase 11 (RNA RNP complex 1-interacting)
Mcavernosa19403	Amine oxidase flavin-containing
Mcavernosa02165	positive regulation of neurotrophin TRK receptor signaling pathway
Mcavernosa02654	mitochondrial DNA repair
Mcavernosa32767	collagen catabolic process
Mcavernosa33990	N-acetylglucosaminylphosphatidylinositol deacetylase activity
Mcavernosa15887	phosphatidylinositol biosynthetic process
Mcavernosa23629	PFAM Alcohol dehydrogenase zinc-binding domain protein
Mcavernosa31407	cyclin-dependent protein serine/threonine kinase activity
Mcavernosa04144	cell septum assembly
Mcavernosa34548	transcription initiation from RNA polymerase II promoter
Mcavernosa31130	-
Mcavernosa13133	protein transport
Mcavernosa04219	cytochrome P450
Mcavernosa05822	Trypsin-like serine protease
Mcavernosa04325	N-6 adenine-specific DNA methyltransferase 1
Mcavernosa29762	GTPase-activating protein
Mcavernosa16815	microfibrillar-associated protein 3-like
Mcavernosa18621	protein targeting to mitochondrion
Mcavernosa29953	sequence-specific DNA binding
Mcavernosa00060	nuclear export
Mcavernosa15016	N-acetylglucosamine-6-sulfatase activity
Mcavernosa03366	protein homooligomerization
Mcavernosa23483	elongation of very long chain fatty acids protein
Mcavernosa26816	histone demethylase activity (H3-K4 specific)
Mcavernosa18345	enzyme binding
Mcavernosa00388	Signal recognition particle 19
Mcavernosa12617	mannose-ethanolamine phosphotransferase activity
Mcavernosa05829	metalloendopeptidase activity
Mcavernosa35200	Ribosomal protein S12/S23
Mcavernosa06282	negative regulation of lymphangiogenesis
Mcavernosa02459	heme binding
Mcavernosa09554	Asunder, spermatogenesis regulator homolog (Drosphila)
Mcavernosa21194	positive regulation of proteasomal protein catabolic process
Mcavernosa07312	F5/8 type C domain
Mcavernosa06501	transmembrane transport
Mcavernosa21367	Uncharacterised protein family UPF0047
Mcavernosa07411	organic anion transmembrane transporter activity
Mcavernosa21716	SET domain
Mcavernosa33284	rRNA base methylation
Mcavernosa35017	Chloride channel protein
Mcavernosa18880	ATPase activity
Mcavernosa24871	ephrin receptor binding
Mcavernosa30068	translation reinitiation
Mcavernosa22104	Stonin 2
Mcavernosa02923	positive regulation of toll-like receptor 7 signaling pathway
Mcavernosa14727	7 transmembrane receptor (rhodopsin family)
Mcavernosa33229	negative regulation of extracellular matrix disassembly
Mcavernosa15724	2'-5'-oligoadenylate synthetase 1, domain 2, C-terminus
Mcavernosa06213	Ammonium transporter
Mcavernosa21900	glycoprotein 6-alpha-L-fucosyltransferase activity
Mcavernosa25364	isomerase
Mcavernosa01421	U1 snRNA 3'-end processing
Mcavernosa29518	Kringle domain
Mcavernosa11629	hydroxyacid-oxoacid transhydrogenase activity
Mcavernosa10102	glutathione hydrolase activity
Mcavernosa00717	5'-3' exoribonuclease 1
Mcavernosa05397	bcl-2 homologous antagonist killer
Mcavernosa16525	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
Mcavernosa21408	acetylcholine-gated cation-selective channel activity
Mcavernosa02864	Vinculin family
Mcavernosa32456	dynein light chain binding
Mcavernosa28405	ribosomal protein L37
Mcavernosa31960	Nipsnap homolog
Mcavernosa07440	LON peptidase N-terminal domain and RING finger
Mcavernosa20252	PA14
Mcavernosa08135	phosphatidylethanolamine binding
Mcavernosa04234	protein-hormone receptor activity
Mcavernosa16332	Folate receptor family
Mcavernosa32731	Codanin 1
Mcavernosa00371	iron-sulfur cluster assembly 1
Mcavernosa09116	negative regulation of peptidyl-serine phosphorylation of STAT protein
Mcavernosa11401	peroxisomal long-chain fatty acid import
Mcavernosa07392	magnesium ion binding
Mcavernosa06806	Protein prenyltransferase alpha subunit
Mcavernosa25496	methyltransferase activity
Mcavernosa32068	Amino acid kinase family
Mcavernosa01963	Aspartate aminotransferase
Mcavernosa16419	Chromosome 1 open reading frame 112
Mcavernosa23960	cellular response to cell-matrix adhesion
Mcavernosa03251	A-type (transient outward) potassium channel activity
Mcavernosa01792	Endoribonuclease XendoU
Mcavernosa16390	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Mcavernosa13416	manganese ion binding
Mcavernosa07927	Belongs to the enoyl-CoA hydratase isomerase family
Mcavernosa21146	spermatogenesis
Mcavernosa25159	Transketolase
Mcavernosa15635	Myosin. Large ATPases.
Mcavernosa19612	Globin
Mcavernosa03513	Belongs to the sulfotransferase 1 family
Mcavernosa10007	nucleoside transmembrane transporter activity
Mcavernosa12347	ion transmembrane transport
Mcavernosa31758	A Receptor for Ubiquitination Targets
Mcavernosa18639	protein kinase C activity
Mcavernosa14481	Germ cell associated 2 (haspin)
Mcavernosa34544	solute carrier family 15
Mcavernosa21140	protein auto-ADP-ribosylation
Mcavernosa12541	Peptidyl-prolyl cis-trans isomerase
Mcavernosa27681	centriole replication
Mcavernosa01959	sphingomyelin phosphodiesterase activator activity
Mcavernosa33348	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage
Mcavernosa02447	structural constituent of cytoskeleton
Mcavernosa15509	acetate-CoA ligase activity
Mcavernosa28400	quinone binding
Mcavernosa27373	G-quadruplex DNA unwinding
Mcavernosa19160	Mediates the voltage-dependent sodium ion permeability of excitable membranes
Mcavernosa19537	rRNA processing
Mcavernosa32002	negative regulation of phosphatase activity
Mcavernosa17583	RNA splicing
Mcavernosa02752	Laminin N-terminal domain (domain VI)
Mcavernosa22261	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster
Mcavernosa20713	uridine-diphosphatase activity
Mcavernosa27494	Centlein
Mcavernosa19514	Jumonji and AT-rich interaction domain containing 2
Mcavernosa06807	NUC153 domain
Mcavernosa06772	actin filament binding
Mcavernosa24251	hedgehog protein
Mcavernosa20028	glycoside hydrolase family 63
Mcavernosa31824	DNA helicase B
Mcavernosa32571	homolog subfamily C member
Mcavernosa00825	Nucleoside diphosphate kinase
Mcavernosa33143	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
Mcavernosa21662	Ammonium transporter
Mcavernosa13117	Structural maintenance of chromosomes flexible hinge
Mcavernosa10840	malonyl-CoA-acyl carrier protein transacylase, mitochondrial
Mcavernosa21494	May play a role in anchoring the cytoskeleton to the plasma membrane
Mcavernosa13953	Belongs to the G-protein coupled receptor 1 family
Mcavernosa16935	adenylate cyclase-activating G-protein coupled receptor signaling pathway
Mcavernosa23074	translation initiation factor activity
Mcavernosa01810	establishment of glial blood-brain barrier
Mcavernosa00069	Aminotransferase class I and II
Mcavernosa18178	lipid droplet organization
Mcavernosa04281	Ion transport protein
Mcavernosa05884	Regulator of chromosome condensation (RCC1) repeat
Mcavernosa12539	heparan sulfate 2-O-sulfotransferase activity
Mcavernosa13318	ceramide phosphoethanolamine biosynthetic process
Mcavernosa32697	acetylation-dependent protein binding
Mcavernosa25418	Protein of unknown function DUF84
Mcavernosa33535	phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)
Mcavernosa01114	organic anion transmembrane transporter activity
Mcavernosa25146	snoRNA splicing
Mcavernosa10686	Belongs to the adenylyl cyclase class-4 guanylyl cyclase family
Mcavernosa12198	Astacin (Peptidase family M12A)
Mcavernosa11051	Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2 ). Among the enzymes to be stimulated by the calmodulin-Ca(2 ) complex are a number of protein kinases and phosphatases
Mcavernosa10475	regulation of intraciliary retrograde transport
Mcavernosa15015	negative regulation of cell cycle arrest
Mcavernosa25494	Astacin (Peptidase family M12A)
Mcavernosa07002	Small acidic protein family
Mcavernosa25427	positive regulation of double-strand break repair via nonhomologous end joining
Mcavernosa24497	tachykinin receptor activity
Mcavernosa32381	Heparan sulfate 2-o-sulfotransferase
Mcavernosa24874	guanosine-diphosphatase activity
Mcavernosa07607	NADP-retinol dehydrogenase activity
Mcavernosa27863	NFX1-type zinc finger-containing protein
Mcavernosa14729	post-chaperonin tubulin folding pathway
Mcavernosa26844	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Mcavernosa10258	cellular response to reactive oxygen species
Mcavernosa17404	negative regulation of cell death
Mcavernosa27420	DNA mismatch repair protein
Mcavernosa24210	Essential for the assembly of the photosystem I (PSI) complex. May act as a chaperone-like factor to guide the assembly of the PSI subunits
Mcavernosa07599	7 transmembrane receptor (rhodopsin family)
Mcavernosa19417	thiol-dependent ubiquitin-specific protease activity
Mcavernosa17885	G-protein coupled receptor activity
Mcavernosa08065	tubulin-glutamic acid ligase activity
Mcavernosa00486	saccharopine dehydrogenase (NAD+, L-lysine-forming) activity
Mcavernosa07741	peptidase inhibitor activity
Mcavernosa28383	Cyclin-dependent kinase inhibitor 1B-like
Mcavernosa34884	3-hydroxybutyrate dehydrogenase activity
Mcavernosa16040	Solute carrier organic anion transporter family, member
Mcavernosa27896	microtubule binding
Mcavernosa34623	hemangioblast cell differentiation
Mcavernosa32327	Belongs to the arylamine N-acetyltransferase family
Mcavernosa09117	glutathione hydrolase activity
Mcavernosa27078	lens fiber cell differentiation
Mcavernosa08097	carbohydrate binding
Mcavernosa35097	assists the folding of proteins upon ATP hydrolysis
Mcavernosa16806	anaerobic respiration
Mcavernosa08251	transmembrane transport
Mcavernosa17276	Ligand for members of the frizzled family of seven transmembrane receptors
Mcavernosa10825	major facilitator superfamily
Mcavernosa12599	snRNA metabolic process
Mcavernosa22428	protein import into mitochondrial outer membrane
Mcavernosa18267	actin-related protein 5
Mcavernosa13144	structural constituent of cuticle
Mcavernosa29596	Sushi, nidogen and EGF-like
Mcavernosa24156	smoothened signaling pathway
Mcavernosa27080	protein serine/threonine kinase activity
Mcavernosa03618	structural constituent of ribosome
Mcavernosa02743	Domain found in sea urchin sperm protein, enterokinase, agrin
Mcavernosa16380	DTW domain containing 1
Mcavernosa13813	N-terminal peptidyl-methionine acetylation
Mcavernosa08762	RNA polymerase II C-terminal domain phosphoserine binding
Mcavernosa03244	Protein SSUH2 homolog
Mcavernosa01678	positive regulation of ruffle assembly
Mcavernosa06731	DNA polymerase family B, exonuclease domain
Mcavernosa15250	Transferase activity, transferring acyl groups other than amino-acyl groups
Mcavernosa20338	late endosome to lysosome transport
Mcavernosa31864	Anoctamin
Mcavernosa08313	MAK16 homolog
Mcavernosa15342	retinol dehydrogenase activity
Mcavernosa29766	Dienelactone hydrolase family
Mcavernosa08878	elastin catabolic process
Mcavernosa09857	3'-5' exonuclease
Mcavernosa02455	Transmembrane protein 194A
Mcavernosa28137	Ankyrin repeat
Mcavernosa14547	negative regulation of cholesterol metabolic process
Mcavernosa06053	Bifunctional purine biosynthesis protein
Mcavernosa04279	ATP-dependent RNA helicase
Mcavernosa24610	inhibin, beta A
Mcavernosa02651	S-adenosylmethioninamine biosynthetic process
Mcavernosa22596	Transmembrane protein 42
Mcavernosa13153	RmlD substrate binding domain
Mcavernosa03333	Selenoprotein N, 1
Mcavernosa13395	lysosomal lumen pH elevation
Mcavernosa28645	positive regulation of fertilization
Mcavernosa13131	ubiquitin-protein transferase activity
Mcavernosa03886	Protein BANP isoform X1
Mcavernosa28999	neural precursor cell proliferation
Mcavernosa26821	Complex I intermediate-associated protein 30
Mcavernosa09251	Ephrin receptor ligand binding domain
Mcavernosa16299	chromosome condensation
Mcavernosa32821	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Mcavernosa04169	-
Mcavernosa10349	LSM14A, mRNA processing body assembly factor
Mcavernosa15446	alpha-galactosidase activity
Mcavernosa22404	neurotransmitter:sodium symporter activity
Mcavernosa04179	Ankyrin and armadillo repeat-containing protein-like
Mcavernosa01491	Lipoxygenase
Mcavernosa17975	alpha/beta hydrolase fold
Mcavernosa27378	SKI DACH domain containing 1
Mcavernosa34235	solute carrier family 22
Mcavernosa03322	Belongs to the peptidase M10A family
Mcavernosa15545	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. The epsilon subunit contain the editing function and is a proofreading 3'-5' exonuclease
Mcavernosa29646	negative regulation of bile acid biosynthetic process
Mcavernosa20692	oxidoreductase activity, oxidizing metal ions, oxygen as acceptor
Mcavernosa17670	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Mcavernosa01531	Dynactin subunit p22
Mcavernosa27884	4-hydroxy-2-oxoglutarate aldolase activity
Mcavernosa23897	protein dimerization activity
Mcavernosa16152	positive regulation of myoblast proliferation
Mcavernosa23063	Transport and Golgi organization
Mcavernosa30901	ribosomal large subunit assembly
Mcavernosa21414	Toll signaling pathway
Mcavernosa11682	7 transmembrane receptor (rhodopsin family)
Mcavernosa01267	-
Mcavernosa02915	Pkinase-domain-containing protein
Mcavernosa20746	Methylcytosine dioxygenase
Mcavernosa28377	prefoldin subunit 2
Mcavernosa16868	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Mcavernosa12723	Ubiquitin-2 like Rad60 SUMO-like
Mcavernosa09881	DUF167
Mcavernosa06179	nucleic acid binding
Mcavernosa07546	structural constituent of nuclear pore
Mcavernosa01755	Kelch-like protein 7
Mcavernosa13408	peptidase M20
Mcavernosa00250	WD40 repeats
Mcavernosa28049	assists the folding of proteins upon ATP hydrolysis
Mcavernosa00424	regulation of sequestering of zinc ion
Mcavernosa33448	complement component C3a binding
Mcavernosa15075	Ammonium transporter
Mcavernosa09745	Solute carrier family 37
Mcavernosa27343	meiotic sister chromatid cohesion, centromeric
Mcavernosa18482	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Mcavernosa03782	ATPase, H transporting, lysosomal 70kDa, V1 subunit A
Mcavernosa13794	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
Mcavernosa01295	ATP-binding cassette, sub-family C (CFTR MRP), member 1
Mcavernosa02925	dual serine threonine and tyrosine protein
Mcavernosa29229	GTPase activity
Mcavernosa19455	negative chemotaxis
Mcavernosa07586	glycosylceramidase activity
Mcavernosa17409	Thrombospondin type 1 repeats
Mcavernosa03264	GABA-A receptor activity
Mcavernosa08783	prolyl 4-hydroxylase
Mcavernosa02269	Cytochrome P450, family 46, subfamily A, polypeptide
Mcavernosa20292	Ankyrin repeats (3 copies)
Mcavernosa08721	Endoplasmic reticulum to nucleus signaling
Mcavernosa29416	protein ubiquitination
Mcavernosa03468	UDP-glucoronosyl and UDP-glucosyl transferase
Mcavernosa30872	peptidyl-diphthamide biosynthetic process from peptidyl-histidine
Mcavernosa17313	Zgc 103559
Mcavernosa03711	polycystic kidney disease protein 1-like
